RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
MH 14,"₹4,90,476 - ₹5,20,815
 Price range for this vehicle in Fair condition","₹5,03,052 - ₹5,34,169
 Price range for this vehicle in Good condition","₹5,15,629 - ₹5,47,523
 Price range for this vehicle in Very Good condition","₹5,28,205 - ₹5,60,877
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/maruti-suzuki-swift-dzire-vdi-2017-611cc0aba17e3111068b458a
MH 12,"₹4,65,079 - ₹4,93,847
 Price range for this vehicle in Fair condition","₹4,77,004 - ₹5,06,510
 Price range for this vehicle in Good condition","₹4,88,929 - ₹5,19,172
 Price range for this vehicle in Very Good condition","₹5,00,855 - ₹5,31,835
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/honda-city-sv-i-dtec-2014-611cc0957298b4f6048b4599
MH 14,"₹3,56,622 - ₹3,78,681
 Price range for this vehicle in Fair condition","₹3,65,767 - ₹3,88,391
 Price range for this vehicle in Good condition","₹3,74,910 - ₹3,98,100
 Price range for this vehicle in Very Good condition","₹3,84,055 - ₹4,07,811
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/volkswagen-vento-16l-highline-2012-6110ef8e4a36aa27068b45a6
MH 13,"₹2,70,842 - ₹2,87,596
 Price range for this vehicle in Fair condition","₹2,77,787 - ₹2,94,970
 Price range for this vehicle in Good condition","₹2,84,732 - ₹3,02,344
 Price range for this vehicle in Very Good condition","₹2,91,677 - ₹3,09,719
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-celerio-zxi-2014-5f9977cdbe662abf15ebd410
MH 14,"₹2,12,533 - ₹2,25,679
 Price range for this vehicle in Fair condition","₹2,17,982 - ₹2,31,465
 Price range for this vehicle in Good condition","₹2,23,432 - ₹2,37,252
 Price range for this vehicle in Very Good condition","₹2,28,881 - ₹2,43,039
 Price range for this vehicle in Excellent condition","5.6



Health Score",https://droom.in/product/fiat-punto-emotion-13-2011-6118dabbd998faea048b45e7
MH 12,"₹2,05,600 - ₹2,18,317
 Price range for this vehicle in Fair condition","₹2,10,871 - ₹2,23,915
 Price range for this vehicle in Good condition","₹2,16,143 - ₹2,29,513
 Price range for this vehicle in Very Good condition","₹2,21,415 - ₹2,35,110
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-swift-vxi-12-bs-iv-2007-60dc465e76b098b82f8b4584
MH 12,"₹1,54,576 - ₹1,64,138
 Price range for this vehicle in Fair condition","₹1,58,539 - ₹1,68,346
 Price range for this vehicle in Good condition","₹1,62,503 - ₹1,72,555
 Price range for this vehicle in Very Good condition","₹1,66,467 - ₹1,76,764
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-santro-gls-i-euro-ii-2006-60daf163f72d9219058b4683
MH 02,"₹4,00,886 - ₹4,25,683
 Price range for this vehicle in Fair condition","₹4,11,165 - ₹4,36,598
 Price range for this vehicle in Good condition","₹4,21,444 - ₹4,47,513
 Price range for this vehicle in Very Good condition","₹4,31,724 - ₹4,58,428
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-city-v-2012-6114f6ac46883a5f578b47c1
MH 04,"₹4,28,153 - ₹4,54,637
 Price range for this vehicle in Fair condition","₹4,39,132 - ₹4,66,295
 Price range for this vehicle in Good condition","₹4,50,110 - ₹4,77,952
 Price range for this vehicle in Very Good condition","₹4,61,088 - ₹4,89,609
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-verna-fluidic-16-vtvt-sx-2014-6114fe7146883a5e578b47bf
MH 46,"₹6,48,962 - ₹6,89,103
 Price range for this vehicle in Fair condition","₹6,65,601 - ₹7,06,773
 Price range for this vehicle in Good condition","₹6,82,241 - ₹7,24,442
 Price range for this vehicle in Very Good condition","₹6,98,881 - ₹7,42,111
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/honda-mobilio-rs-i-dtec-opt-2015-6114fdfcc7ff20a9078b45f9
MH 03,"₹2,00,083 - ₹2,12,459
 Price range for this vehicle in Fair condition","₹2,05,212 - ₹2,17,906
 Price range for this vehicle in Good condition","₹2,10,343 - ₹2,23,354
 Price range for this vehicle in Very Good condition","₹2,15,473 - ₹2,28,802
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-alto-800-vxi-2015-6114fde917a2bdfa058b4688
MH 12,"₹3,39,832 - ₹3,60,852
 Price range for this vehicle in Fair condition","₹3,57,509 - ₹3,79,623
 Price range for this vehicle in Good condition","₹3,75,186 - ₹3,98,393
 Price range for this vehicle in Very Good condition","₹3,92,823 - ₹4,17,121
 Price range for this vehicle in Excellent condition","4.4



Health Score",https://droom.in/product/hyundai-xcent-prime-t-plus-crdi-2018-61139f6ecb2e7c15068b464e215
MH 15,"₹2,52,696 - ₹2,68,327
 Price range for this vehicle in Fair condition","₹2,59,175 - ₹2,75,206
 Price range for this vehicle in Good condition","₹2,65,654 - ₹2,82,086
 Price range for this vehicle in Very Good condition","₹2,72,134 - ₹2,88,967
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/honda-jazz-s-i-vtec-2010-6113d41dd5ceb625068b4747
MH 14,"₹3,46,039 - ₹3,67,443
 Price range for this vehicle in Fair condition","₹3,54,911 - ₹3,76,864
 Price range for this vehicle in Good condition","₹3,63,784 - ₹3,86,286
 Price range for this vehicle in Very Good condition","₹3,72,656 - ₹3,95,707
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/toyota-etios-cross-15-v-2014-6114f662eaf2e7bd068b4655
MH 12,"₹5,81,525 - ₹6,17,495
 Price range for this vehicle in Fair condition","₹5,96,436 - ₹6,33,329
 Price range for this vehicle in Good condition","₹6,11,347 - ₹6,49,162
 Price range for this vehicle in Very Good condition","₹6,26,257 - ₹6,64,995
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-swift-vxi-2019-603e0fa489865d9e068b4567
MH 12,"₹3,76,731 - ₹4,00,035
 Price range for this vehicle in Fair condition","₹3,86,391 - ₹4,10,292
 Price range for this vehicle in Good condition","₹3,96,051 - ₹4,20,549
 Price range for this vehicle in Very Good condition","₹4,05,711 - ₹4,30,806
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/tata-zest-revotron-12-xt-2016-60dd6a379a606309068b45b3
MH 14,"₹3,03,039 - ₹3,21,783
 Price range for this vehicle in Fair condition","₹3,10,808 - ₹3,30,034
 Price range for this vehicle in Good condition","₹3,18,579 - ₹3,38,285
 Price range for this vehicle in Very Good condition","₹3,26,350 - ₹3,46,536
 Price range for this vehicle in Excellent condition","4.4



Health Score",https://droom.in/product/maruti-suzuki-swift-dzire-tour-diesel-2016-611365b046883ab7088b471e468
MH 47,"₹4,94,206 - ₹5,24,775
 Price range for this vehicle in Fair condition","₹5,06,878 - ₹5,38,231
 Price range for this vehicle in Good condition","₹5,19,550 - ₹5,51,687
 Price range for this vehicle in Very Good condition","₹5,32,222 - ₹5,65,143
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/volkswagen-polo-comfortline-12l-p-2018-61150af9b86097ff058b46fa
MH 12,"₹2,15,705 - ₹2,29,047
 Price range for this vehicle in Fair condition","₹2,21,236 - ₹2,34,921
 Price range for this vehicle in Good condition","₹2,26,766 - ₹2,40,793
 Price range for this vehicle in Very Good condition","₹2,32,297 - ₹2,46,666
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/ford-figo-duratorq-titanium-14-2010-6113c860f72d921b068b4712
PB 08,"₹5,80,863 - ₹6,16,793
 Price range for this vehicle in Fair condition","₹5,95,757 - ₹6,32,608
 Price range for this vehicle in Good condition","₹6,10,650 - ₹6,48,423
 Price range for this vehicle in Very Good condition","₹6,25,544 - ₹6,64,238
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/hyundai-verna-fluidic-16-crdi-s-o-2015-5f8d88a560865d1d088b4582
MH 20,"₹3,89,829 - ₹4,13,942
 Price range for this vehicle in Fair condition","₹3,99,825 - ₹4,24,557
 Price range for this vehicle in Good condition","₹4,09,821 - ₹4,35,171
 Price range for this vehicle in Very Good condition","₹4,19,817 - ₹4,45,785
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-grand-i10-sports-edition-12l-kappa-vtvt-2016-5f3f95ec3c81adf107fa3053
MH 14,"₹3,81,226 - ₹4,04,807
 Price range for this vehicle in Fair condition","₹3,91,000 - ₹4,15,186
 Price range for this vehicle in Good condition","₹4,00,776 - ₹4,25,566
 Price range for this vehicle in Very Good condition","₹4,10,551 - ₹4,35,946
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/maruti-suzuki-celerio-zxi-amt-o-2017-6115138e28fcaa16188b4668
MH 14,"₹2,82,121 - ₹2,99,571
 Price range for this vehicle in Fair condition","₹2,89,355 - ₹3,07,253
 Price range for this vehicle in Good condition","₹2,96,588 - ₹3,14,934
 Price range for this vehicle in Very Good condition","₹3,03,822 - ₹3,22,615
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/tata-tiago-revotron-xt-2017-611cc91739e972f5048b45ae
MH 14,"₹3,07,885 - ₹3,26,929
 Price range for this vehicle in Fair condition","₹3,15,780 - ₹3,35,313
 Price range for this vehicle in Good condition","₹3,23,674 - ₹3,43,695
 Price range for this vehicle in Very Good condition","₹3,31,568 - ₹3,52,078
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/skoda-laura-lk-20-tdi-mt-2008-611cc8e159c0de02058b45b7
MH 02,"₹28,504 - ₹30,267
 Price range for this vehicle in Fair condition","₹29,235 - ₹31,044
 Price range for this vehicle in Good condition","₹29,966 - ₹31,820
 Price range for this vehicle in Very Good condition","₹30,696 - ₹32,595
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-vxi-2005-611cd3c159c0de43068b45aa
MH 02,"₹1,99,305 - ₹2,11,633
 Price range for this vehicle in Fair condition","₹2,04,415 - ₹2,17,059
 Price range for this vehicle in Good condition","₹2,09,525 - ₹2,22,486
 Price range for this vehicle in Very Good condition","₹2,14,636 - ₹2,27,912
 Price range for this vehicle in Excellent condition","4.4



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-green-lxi-cng-2017-6123d89a841dc8ed048b470d851
MH 12,"₹2,31,286 - ₹2,45,592
 Price range for this vehicle in Fair condition","₹2,37,217 - ₹2,51,890
 Price range for this vehicle in Good condition","₹2,43,147 - ₹2,58,187
 Price range for this vehicle in Very Good condition","₹2,49,077 - ₹2,64,484
 Price range for this vehicle in Excellent condition","6.4



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-10-lxi-cng-2017-5cb196647d6d4bd107380477673
MH 12,"₹3,14,718 - ₹3,34,185
 Price range for this vehicle in Fair condition","₹3,22,787 - ₹3,42,753
 Price range for this vehicle in Good condition","₹3,30,857 - ₹3,51,322
 Price range for this vehicle in Very Good condition","₹3,38,926 - ₹3,59,891
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-swift-ldi-2012-6127700746883a756a8b47e2
MH 01,"₹2,53,230 - ₹2,68,893
 Price range for this vehicle in Fair condition","₹2,59,722 - ₹2,75,788
 Price range for this vehicle in Good condition","₹2,66,216 - ₹2,82,682
 Price range for this vehicle in Very Good condition","₹2,72,709 - ₹2,89,577
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-swift-vdi-2009-612770d18d25b9fa058b458e
MH 12,"₹4,86,591 - ₹5,16,690
 Price range for this vehicle in Fair condition","₹4,99,069 - ₹5,29,939
 Price range for this vehicle in Good condition","₹5,11,545 - ₹5,43,187
 Price range for this vehicle in Very Good condition","₹5,24,021 - ₹5,56,435
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/hyundai-verna-fluidic-16-vtvt-sx-opt-2014-604b462f696e4b760cad4a8d
MH 14,"₹5,99,085 - ₹6,36,142
 Price range for this vehicle in Fair condition","₹6,14,446 - ₹6,52,453
 Price range for this vehicle in Good condition","₹6,29,807 - ₹6,68,764
 Price range for this vehicle in Very Good condition","₹6,45,168 - ₹6,85,076
 Price range for this vehicle in Excellent condition","3.2



Health Score",https://droom.in/product/volkswagen-vento-15-tdi-highline-at-2015-6139ca9bc3c5e60a068b4630
MH 14,"₹5,59,289 - ₹5,93,885
 Price range for this vehicle in Fair condition","₹5,73,630 - ₹6,09,112
 Price range for this vehicle in Good condition","₹5,87,971 - ₹6,24,340
 Price range for this vehicle in Very Good condition","₹6,02,312 - ₹6,39,568
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/tata-nexon-revotron-xm-2018-612ccf4246883af90e8b4893
MH 12,"₹5,75,821 - ₹6,11,439
 Price range for this vehicle in Fair condition","₹5,90,585 - ₹6,27,117
 Price range for this vehicle in Good condition","₹6,05,351 - ₹6,42,795
 Price range for this vehicle in Very Good condition","₹6,20,115 - ₹6,58,473
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/honda-city-vx-i-vtec-2015-612621ad04d107ef048b4587
MH 12,"₹1,49,968 - ₹1,59,244
 Price range for this vehicle in Fair condition","₹1,53,813 - ₹1,63,327
 Price range for this vehicle in Good condition","₹1,57,659 - ₹1,67,411
 Price range for this vehicle in Very Good condition","₹1,61,504 - ₹1,71,494
 Price range for this vehicle in Excellent condition","6



Health Score",https://droom.in/product/tata-indica-ev2-lx-2012-61247d240a63652b068b4587
MH 06,"₹2,57,478 - ₹2,73,405
 Price range for this vehicle in Fair condition","₹2,64,080 - ₹2,80,415
 Price range for this vehicle in Good condition","₹2,70,682 - ₹2,87,426
 Price range for this vehicle in Very Good condition","₹2,77,284 - ₹2,94,436
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/mahindra-xylo-e8-bs-iii-2009-6129b8a46907cc08068b45a7
MH 12,"₹3,98,981 - ₹4,23,660
 Price range for this vehicle in Fair condition","₹4,09,211 - ₹4,34,523
 Price range for this vehicle in Good condition","₹4,19,442 - ₹4,45,387
 Price range for this vehicle in Very Good condition","₹4,29,672 - ₹4,56,250
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/fiat-avventura-dynamic-multijet-13-2015-6129bc4df37f2214068b4599
MH 20,"₹4,19,987 - ₹4,45,967
 Price range for this vehicle in Fair condition","₹4,30,757 - ₹4,57,402
 Price range for this vehicle in Good condition","₹4,41,526 - ₹4,68,837
 Price range for this vehicle in Very Good condition","₹4,52,294 - ₹4,80,271
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/chevrolet-cruze-ltz-2011-6127775465595ce6158b4608
MH 14,"₹1,59,927 - ₹1,69,819
 Price range for this vehicle in Fair condition","₹1,64,027 - ₹1,74,173
 Price range for this vehicle in Good condition","₹1,68,128 - ₹1,78,528
 Price range for this vehicle in Very Good condition","₹1,72,229 - ₹1,82,883
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-eon-d-lite-plus-2012-61277460cea40fea0b8b466d
