Brand,"Distance & km,Details",price,RTO,OBV,Health Score
Chevrolet Captiva LT 2012,"58000 Km, Diesel, First Owner, Delhi","₹ 3,25,000",DL 10,"₹3,70,836 - ₹3,93,775","6



Health Score"
Kia Carnival Prestige 7 STR 2021,"89600 Km, Diesel, First Owner, Delhi","₹ 20,00,000",DL 1C,"₹23,92,933 - ₹25,40,950","3.2



Health Score"
Mahindra XUV300 W8 Petrol 2020,"15000 Km, Petrol, First Owner, Delhi","₹ 9,50,000",DL 8C,"₹8,91,498 - ₹9,46,643","5.2



Health Score"
Hyundai Grand i10 Sportz 1.1 CRDi 2014,"107780 Km, Diesel, First Owner, Delhi","₹ 2,95,000",DL 8C,"₹2,85,223 - ₹3,02,866","7.2



Health Score"
Maruti Suzuki Vitara Brezza ZDi Plus Dual Tone 2016,"43000 Km, Diesel, First Owner, Delhi","₹ 5,95,000",DL 3C,"₹5,99,698 - ₹6,36,793","3.8



Health Score"
Kia Seltos GTX Plus DCT 1.4 Petrol 2020,"8080 Km, Petrol, First Owner, Delhi","₹ 18,50,000",DL 8C,"₹15,35,677 - ₹16,30,667","5.6



Health Score"
Renault Duster Adventure Edition 85 PS RXL Diesel 2016,"80000 Km, Diesel, First Owner, Delhi","₹ 5,72,152",DL 1C,"₹5,18,418 - ₹5,50,486","5.2



Health Score"
Maruti Suzuki Ciaz Sigma 1.3 Hybrid 2019,"19850 Km, Diesel, First Owner, Delhi","₹ 8,02,000",DL 11,"₹6,93,305 - ₹7,36,190","3.8



Health Score"
Maruti Suzuki ALTO 800 LXi 2014,"62000 Km, Petrol, First Owner, Delhi","₹ 1,80,000",DL 2C,"₹1,46,091 - ₹1,55,128","5.6



Health Score"
Maruti Suzuki Baleno Alpha 1.2 2018,"16500 Km, Petrol, First Owner, Delhi","₹ 6,20,000",JH 01,"₹5,40,874 - ₹5,74,330","6



Health Score"
Tata Nexon Revotron XZ Plus 2019,"13500 Km, Petrol, Second Owner, Delhi","₹ 9,30,000",DL 8C,"₹7,10,531 - ₹7,54,481","6



Health Score"
Mahindra Quanto C2 2012,"70000 Km, Diesel, Second Owner, Delhi","₹ 1,90,000",DL 12,"₹1,57,750 - ₹1,67,508","6



Health Score"
Mahindra XUV500 W8 AWD 2012,"91000 Km, Diesel, Second Owner, Delhi","₹ 5,00,000",DL 12,"₹4,07,721 - ₹4,32,941","7.6



Health Score"
Mahindra Ssangyong Rexton RX7 2014,"103450 Km, Diesel, First Owner, Delhi","₹ 8,76,500",DL 12,"₹7,89,918 - ₹8,38,779","5.2



Health Score"
Hyundai Getz GLS 2006,"65000 Km, Petrol, Second Owner, Delhi","₹ 71,500",DL 1C,"₹59,201 - ₹62,863","6.5



Health Score"
Maruti Suzuki ALTO 800 LX 2013,"50000 Km, Petrol, Second Owner, Delhi","₹ 97,800",DL 03,"₹1,19,112 - ₹1,26,480","6



Health Score"
Ford Endeavour 2.5L 4x2 2011,"78000 Km, Diesel, Second Owner, Delhi","₹ 5,00,000",DL 4C,"₹4,18,819 - ₹4,44,724","6



Health Score"
Hyundai Santro Xing XO ERLX EURO III 2006,"83000 Km, Petrol, First Owner, Delhi","₹ 89,700",PB 10,"₹76,308 - ₹81,028","6



Health Score"
