RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
,,,,,,
MH 02,"₹15,06,217 - ₹15,99,385
 Price range for this vehicle in Fair condition","₹15,44,838 - ₹16,40,395
 Price range for this vehicle in Good condition","₹15,83,459 - ₹16,81,405
 Price range for this vehicle in Very Good condition","₹16,22,080 - ₹17,22,415
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,99,008 - ₹4,23,689
 Price range for this vehicle in Fair condition","₹4,09,239 - ₹4,34,553
 Price range for this vehicle in Good condition","₹4,19,470 - ₹4,45,417
 Price range for this vehicle in Very Good condition","₹4,29,701 - ₹4,56,281
 Price range for this vehicle in Excellent condition","4.4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹4,26,965 - ₹4,53,375
 Price range for this vehicle in Fair condition","₹4,37,913 - ₹4,65,000
 Price range for this vehicle in Good condition","₹4,48,861 - ₹4,76,626
 Price range for this vehicle in Very Good condition","₹4,59,809 - ₹4,88,250
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹5,14,503 - ₹5,46,328
 Price range for this vehicle in Fair condition","₹5,27,695 - ₹5,60,336
 Price range for this vehicle in Good condition","₹5,40,888 - ₹5,74,345
 Price range for this vehicle in Very Good condition","₹5,54,080 - ₹5,88,354
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 47,"₹3,37,416 - ₹3,58,287
 Price range for this vehicle in Fair condition","₹3,46,067 - ₹3,67,473
 Price range for this vehicle in Good condition","₹3,54,719 - ₹3,76,660
 Price range for this vehicle in Very Good condition","₹3,63,371 - ₹3,85,847
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 06,"₹1,36,986 - ₹1,45,459
 Price range for this vehicle in Fair condition","₹1,40,498 - ₹1,49,189
 Price range for this vehicle in Good condition","₹1,44,010 - ₹1,52,918
 Price range for this vehicle in Very Good condition","₹1,47,523 - ₹1,56,648
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 06,"₹7,79,605 - ₹8,27,828
 Price range for this vehicle in Fair condition","₹7,99,594 - ₹8,49,054
 Price range for this vehicle in Good condition","₹8,19,584 - ₹8,70,280
 Price range for this vehicle in Very Good condition","₹8,39,574 - ₹8,91,506
 Price range for this vehicle in Excellent condition","5.2



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹6,29,874 - ₹6,68,834
 Price range for this vehicle in Fair condition","₹6,46,024 - ₹6,85,984
 Price range for this vehicle in Good condition","₹6,62,174 - ₹7,03,134
 Price range for this vehicle in Very Good condition","₹6,78,326 - ₹7,20,284
 Price range for this vehicle in Excellent condition","7.6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH O2,"₹1,85,763 - ₹1,97,253
 Price range for this vehicle in Fair condition","₹1,90,526 - ₹2,02,311
 Price range for this vehicle in Good condition","₹1,95,290 - ₹2,07,370
 Price range for this vehicle in Very Good condition","₹2,00,052 - ₹2,12,427
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹2,11,336 - ₹2,24,409
 Price range for this vehicle in Fair condition","₹2,16,755 - ₹2,30,162
 Price range for this vehicle in Good condition","₹2,22,174 - ₹2,35,917
 Price range for this vehicle in Very Good condition","₹2,27,593 - ₹2,41,671
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
